input_text,label,matched_text,curie,uri,ontology,pref_label
microcephaly,phenotype,MICROCEPHALY,HP:0000252,http://purl.obolibrary.org/obo/HP_0000252,HP,
cleft palate,phenotype,CLEFT PALATE,HP:0000175,http://purl.obolibrary.org/obo/HP_0000175,HP,
short stature,phenotype,SHORT STATURE,HP:0004322,http://purl.obolibrary.org/obo/HP_0004322,HP,
Escherichia coli,taxon,ESCHERICHIA COLI,NCBITAXON:562,http://purl.bioontology.org/ontology/NCBITAXON/562,NCBITAXON,
Escherichia coli,taxon,ESCHERICHIA,NCBITAXON:561,http://purl.bioontology.org/ontology/NCBITAXON/561,NCBITAXON,
Homo sapiens,taxon,HOMO SAPIENS,NCBITAXON:9606,http://purl.bioontology.org/ontology/NCBITAXON/9606,NCBITAXON,
Homo sapiens,taxon,HOMO,NCBITAXON:9605,http://purl.bioontology.org/ontology/NCBITAXON/9605,NCBITAXON,
Mus musculus,taxon,MUS MUSCULUS,NCBITAXON:10090,http://purl.bioontology.org/ontology/NCBITAXON/10090,NCBITAXON,
Mus musculus,taxon,MUS,NCBITAXON:862507,http://purl.bioontology.org/ontology/NCBITAXON/862507,NCBITAXON,
Mus musculus,taxon,MUS,NCBITAXON:10088,http://purl.bioontology.org/ontology/NCBITAXON/10088,NCBITAXON,
Mus musculus,taxon,MUSCULUS,NCBITAXON:112137,http://purl.bioontology.org/ontology/NCBITAXON/112137,NCBITAXON,
colon,body_site,COLON,UBERON:0001155,http://purl.obolibrary.org/obo/UBERON_0001155,UBERON,
small intestine,body_site,SMALL INTESTINE,UBERON:0002108,http://purl.obolibrary.org/obo/UBERON_0002108,UBERON,
small intestine,body_site,INTESTINE,UBERON:0000160,http://purl.obolibrary.org/obo/UBERON_0000160,UBERON,
cecum,body_site,CECUM,UBERON:0001153,http://purl.obolibrary.org/obo/UBERON_0001153,UBERON,
rectum,body_site,RECTUM,UBERON:0001052,http://purl.obolibrary.org/obo/UBERON_0001052,UBERON,
rectum,body_site,RECTUM,UBERON:0006866,http://purl.obolibrary.org/obo/UBERON_0006866,UBERON,
oral cavity,body_site,ORAL CAVITY,UBERON:0000167,http://purl.obolibrary.org/obo/UBERON_0000167,UBERON,
oral cavity,body_site,CAVITY,UBERON:0002553,http://purl.obolibrary.org/obo/UBERON_0002553,UBERON,
stool,body_site,STOOL,UBERON:0001988,http://purl.obolibrary.org/obo/UBERON_0001988,UBERON,
